,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
220,-42.25148081219476,10.697397822885904,220.0,cayenne,2.24,75.2,100.0,76.0
221,61.31259919280717,-8.501043030131129,221.0,victoria,6.85,77.0,100.0,75.0
222,-74.6703378290358,35.92867289653414,222.0,virginia beach,8.05,52.95,57.0,75.0
223,26.684709470451168,50.32217367265315,223.0,netishyn,26.84,77.0,27.0,40.0
224,-115.61791446656954,72.02655410446522,224.0,yellowknife,8.05,12.2,66.0,40.0
225,-45.44025383321045,66.9958722253179,225.0,qasigiannguit,3.36,24.8,79.0,90.0
227,-49.70689771522885,-23.82328218392034,227.0,wenceslau braz,5.61,76.18,69.0,0.0
230,-153.7167986363432,57.355574111675395,230.0,kodiak,6.93,51.8,40.0,90.0
233,43.962479143609215,45.84762179686544,233.0,arshan,8.41,81.49,27.0,0.0
234,-35.01026855625585,22.809997264665228,234.0,ponta do sol,1.86,76.99,57.0,88.0
235,162.16049696769846,-27.687022247631766,235.0,noumea,9.8,69.8,88.0,0.0
236,-74.0554946886901,33.851534415705714,236.0,havelock,9.17,59.58,44.0,5.0
237,174.17013866364988,77.96500757993309,237.0,komsomolskiy,11.03,13.54,85.0,88.0
238,134.84254206183448,-37.24218535621425,238.0,port lincoln,8.52,63.04,97.0,0.0
240,-16.023122792147575,5.751094790190507,240.0,goderich,4.32,41.26,77.0,68.0
245,20.435856000466856,-14.062641199886698,245.0,luena,6.29,79.06,44.0,0.0
246,78.40248147330033,78.65070412565461,246.0,dikson,15.68,17.77,91.0,68.0
248,-117.19651036279117,42.665572232909,248.0,nampa,1.86,42.76,70.0,1.0
252,115.77469618714997,41.24738429960399,252.0,xuanhua,4.09,46.39,87.0,92.0
255,136.68181454576774,-4.62202824294053,255.0,nabire,1.97,68.62,98.0,92.0
256,47.93203111259865,-2.408015745905601,256.0,mogadishu,6.55,83.29,100.0,0.0
257,-44.142949228766014,-11.174859874319196,257.0,formosa do rio preto,7.74,86.17,52.0,48.0
258,-96.42335655651407,19.990271868898574,258.0,emilio carranza,5.77,75.91,78.0,0.0
261,169.8146850645732,-39.27327126044326,261.0,westport,16.11,57.2,50.0,75.0
262,21.162359444809425,-24.86699854567901,262.0,hukuntsi,4.5,88.06,15.0,0.0
267,96.10748067114702,3.752255131871763,267.0,meulaboh,2.59,79.87,100.0,48.0
270,124.10744132964754,30.260193699585614,270.0,shenjiamen,16.62,63.94,94.0,88.0
271,-56.89552569427322,33.625333979591446,271.0,saint george,12.75,69.8,28.0,20.0
272,168.4778321094883,57.896479285481945,272.0,tilichiki,8.01,27.31,86.0,76.0
274,139.1064535175882,13.128710123363305,274.0,airai,1.81,67.99,88.0,12.0
275,121.27298263963303,2.239431353046328,275.0,gorontalo,2.08,74.83,95.0,24.0
276,111.99332503998096,1.6346778842596166,276.0,sri aman,2.3,77.0,94.0,75.0
279,-105.89775553765755,13.574129086474983,279.0,coahuayana,2.82,78.79,43.0,0.0
